"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","cadherin binding","3.64%","34","871","319","19272","8.50e-6","5.26e-4","2.36","9.94e-3","5.04e-4","3.32e-6"
"GOTERM_MF_DIRECT","protease binding","1.93%","18","871","113","19272","1.23e-5","6.90e-4","3.52","1.44e-2","6.62e-4","3.06e-6"
"GOTERM_MF_DIRECT","actin filament binding","2.67%","25","871","213","19272","3.60e-5","1.92e-3","2.60","4.14e-2","1.84e-3","1.26e-5"
"GOTERM_MF_DIRECT","serine-type endopeptidase activity","2.46%","23","871","192","19272","5.82e-5","2.74e-3","2.65","6.61e-2","2.62e-3","1.99e-5"
"GOTERM_MF_DIRECT","protein kinase activity","4.81%","45","871","526","19272","6.57e-5","2.97e-3","1.89","7.43e-2","2.85e-3","3.24e-5"
"GOTERM_MF_DIRECT","virus receptor activity","1.50%","14","871","83","19272","8.36e-5","3.64e-3","3.73","9.35e-2","3.49e-3","1.93e-5"
"GOTERM_MF_DIRECT","ATP hydrolysis activity","4.17%","39","871","440","19272","1.05e-4","4.42e-3","1.96","1.16e-1","4.24e-3","5.05e-5"
"GOTERM_MF_DIRECT","single-stranded DNA binding","1.71%","16","871","110","19272","1.25e-4","5.07e-3","3.22","1.37e-1","4.86e-3","3.43e-5"
"GOTERM_MF_DIRECT","metallopeptidase activity","2.14%","20","871","171","19272","2.71e-4","1.03e-2","2.59","2.73e-1","9.85e-3","9.50e-5"
"GOTERM_MF_DIRECT","hydrolase activity","12.30%","115","871","1847","19272","3.26e-4","1.20e-2","1.38","3.18e-1","1.15e-2","2.32e-4"
"GOTERM_MF_DIRECT","endopeptidase activity","1.50%","14","871","96","19272","3.72e-4","1.32e-2","3.23","3.54e-1","1.27e-2","1.02e-4"
"GOTERM_MF_DIRECT","kinase activity","5.78%","54","871","729","19272","4.44e-4","1.54e-2","1.64","4.07e-1","1.47e-2","2.60e-4"
"GOTERM_MF_DIRECT","transmembrane receptor protein tyrosine kinase activity","1.07%","10","871","53","19272","5.54e-4","1.82e-2","4.17","4.78e-1","1.74e-2","1.12e-4"
"GOTERM_MF_DIRECT","signaling receptor binding","3.74%","35","871","425","19272","9.38e-4","2.83e-2","1.82","6.68e-1","2.71e-2","4.81e-4"
"GOTERM_MF_DIRECT","helicase activity","1.82%","17","871","147","19272","1.00e-3","2.95e-2","2.56","6.92e-1","2.82e-2","3.55e-4"
"GOTERM_MF_DIRECT","protein homodimerization activity","5.67%","53","871","740","19272","1.08e-3","3.05e-2","1.58","7.19e-1","2.92e-2","6.49e-4"
"GOTERM_MF_DIRECT","chromatin binding","4.28%","40","871","524","19272","1.60e-3","4.38e-2","1.69","8.48e-1","4.20e-2","8.92e-4"
"GOTERM_MF_DIRECT","small GTPase binding","2.67%","25","871","294","19272","3.85e-3","9.41e-2","1.88","9.89e-1","9.02e-2","1.90e-3"
"GOTERM_MF_DIRECT","receptor ligand activity","1.60%","15","871","142","19272","5.00e-3","1.18e-1","2.34","9.97e-1","1.13e-1","1.94e-3"
"GOTERM_MF_DIRECT","protein tyrosine phosphatase activity","1.28%","12","871","101","19272","5.85e-3","1.34e-1","2.63","9.99e-1","1.28e-1","1.99e-3"
"GOTERM_MF_DIRECT","magnesium ion binding","2.25%","21","871","241","19272","6.62e-3","1.44e-1","1.93","1.00e+0","1.38e-1","3.17e-3"
"GOTERM_MF_DIRECT","protein-containing complex binding","3.10%","29","871","377","19272","7.01e-3","1.50e-1","1.70","1.00e+0","1.43e-1","3.85e-3"
"GOTERM_MF_DIRECT","protein serine kinase activity","2.99%","28","871","365","19272","8.42e-3","1.71e-1","1.70","1.00e+0","1.63e-1","4.65e-3"
"GOTERM_MF_DIRECT","peptidase activity","4.06%","38","871","544","19272","8.90e-3","1.74e-1","1.55","1.00e+0","1.67e-1","5.40e-3"

