"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","neuron migration","2.03%","19","865","136","19512","3.20e-5","3.53e-3","3.15","1.22e-1","3.44e-3","9.01e-6"
"GOTERM_BP_DIRECT","symbiont entry into host cell","1.82%","17","865","112","19512","3.37e-5","3.62e-3","3.42","1.29e-1","3.53e-3","8.64e-6"
"GOTERM_BP_DIRECT","bone development","1.50%","14","865","78","19512","3.52e-5","3.68e-3","4.05","1.34e-1","3.59e-3","7.42e-6"
"GOTERM_BP_DIRECT","response to xenobiotic stimulus","2.99%","28","865","260","19512","3.70e-5","3.77e-3","2.43","1.40e-1","3.68e-3","1.42e-5"
"GOTERM_BP_DIRECT","cell adhesion mediated by integrin","1.07%","10","865","39","19512","4.01e-5","4.00e-3","5.78","1.51e-1","3.90e-3","5.48e-6"
"GOTERM_BP_DIRECT","insulin receptor signaling pathway","1.50%","14","865","80","19512","4.63e-5","4.51e-3","3.95","1.72e-1","4.39e-3","1.01e-5"
"GOTERM_BP_DIRECT","negative regulation of cell migration","2.46%","23","865","193","19512","4.74e-5","4.51e-3","2.69","1.76e-1","4.40e-3","1.60e-5"
"GOTERM_BP_DIRECT","skeletal system development","2.14%","20","865","154","19512","5.23e-5","4.74e-3","2.93","1.92e-1","4.62e-3","1.60e-5"
"GOTERM_BP_DIRECT","positive regulation of cell population proliferation","4.81%","45","865","542","19512","8.38e-5","7.13e-3","1.87","2.90e-1","6.95e-3","4.32e-5"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","4.81%","45","865","543","19512","8.72e-5","7.27e-3","1.87","3.00e-1","7.09e-3","4.49e-5"
"GOTERM_BP_DIRECT","regulation of cell adhesion","1.28%","12","865","64","19512","1.04e-4","7.89e-3","4.23","3.47e-1","7.69e-3","2.09e-5"
"GOTERM_BP_DIRECT","regulation of cell migration","1.82%","17","865","123","19512","1.07e-4","7.91e-3","3.12","3.53e-1","7.72e-3","3.04e-5"
"GOTERM_BP_DIRECT","ossification","1.71%","16","865","113","19512","1.38e-4","9.71e-3","3.19","4.30e-1","9.46e-3","3.82e-5"
"GOTERM_BP_DIRECT","positive regulation of osteoblast differentiation","1.39%","13","865","80","19512","1.98e-4","1.37e-2","3.67","5.55e-1","1.34e-2","4.69e-5"
"GOTERM_BP_DIRECT","protein phosphorylation","2.78%","26","865","261","19512","2.54e-4","1.70e-2","2.25","6.46e-1","1.66e-2","1.06e-4"
"GOTERM_BP_DIRECT","positive regulation of cell adhesion","1.28%","12","865","71","19512","2.71e-4","1.76e-2","3.81","6.69e-1","1.71e-2","6.13e-5"
"GOTERM_BP_DIRECT","positive regulation of neuron projection development","1.71%","16","865","122","19512","3.24e-4","2.07e-2","2.96","7.34e-1","2.02e-2","9.79e-5"
"GOTERM_BP_DIRECT","positive regulation of ERK1 and ERK2 cascade","2.35%","22","865","207","19512","3.59e-4","2.22e-2","2.40","7.70e-1","2.17e-2","1.37e-4"
"GOTERM_BP_DIRECT","positive regulation of MAPK cascade","2.46%","23","865","224","19512","4.13e-4","2.43e-2","2.32","8.15e-1","2.37e-2","1.64e-4"
"GOTERM_BP_DIRECT","centrosome cycle","1.07%","10","865","52","19512","4.16e-4","2.43e-2","4.34","8.17e-1","2.37e-2","8.09e-5"
"GOTERM_BP_DIRECT","chromosome segregation","1.60%","15","865","112","19512","4.28e-4","2.46e-2","3.02","8.26e-1","2.40e-2","1.26e-4"
"GOTERM_BP_DIRECT","endocytosis","2.46%","23","865","226","19512","4.67e-4","2.65e-2","2.30","8.52e-1","2.58e-2","1.87e-4"
"GOTERM_BP_DIRECT","chondrocyte differentiation","1.18%","11","865","65","19512","5.40e-4","2.90e-2","3.82","8.90e-1","2.83e-2","1.22e-4"
"GOTERM_BP_DIRECT","Rho protein signal transduction","1.18%","11","865","65","19512","5.40e-4","2.90e-2","3.82","8.90e-1","2.83e-2","1.22e-4"
"GOTERM_BP_DIRECT","cellular response to glucose stimulus","1.28%","12","865","77","19512","5.56e-4","2.95e-2","3.52","8.97e-1","2.87e-2","1.38e-4"
"GOTERM_BP_DIRECT","stem cell proliferation","1.07%","10","865","55","19512","6.39e-4","3.26e-2","4.10","9.26e-1","3.18e-2","1.33e-4"
"GOTERM_BP_DIRECT","positive regulation of angiogenesis","1.93%","18","865","160","19512","7.52e-4","3.61e-2","2.54","9.54e-1","3.52e-2","2.69e-4"
"GOTERM_BP_DIRECT","receptor-mediated endocytosis","1.28%","12","865","80","19512","7.73e-4","3.67e-2","3.38","9.57e-1","3.58e-2","2.00e-4"
"GOTERM_BP_DIRECT","positive regulation of canonical Wnt signaling pathway","1.60%","15","865","120","19512","8.61e-4","3.95e-2","2.82","9.70e-1","3.85e-2","2.74e-4"
"GOTERM_BP_DIRECT","phosphatidylinositol 3-kinase/protein kinase B signal transduction","1.39%","13","865","94","19512","8.92e-4","4.01e-2","3.12","9.74e-1","3.90e-2","2.53e-4"
"GOTERM_BP_DIRECT","positive regulation of apoptotic process","3.10%","29","865","333","19512","9.20e-4","4.09e-2","1.96","9.77e-1","3.98e-2","4.42e-4"
"GOTERM_BP_DIRECT","negative regulation of cell population proliferation","3.85%","36","865","450","19512","9.33e-4","4.10e-2","1.80","9.78e-1","4.00e-2","4.94e-4"
"GOTERM_BP_DIRECT","blood vessel development","1.18%","11","865","71","19512","1.10e-3","4.77e-2","3.49","9.89e-1","4.65e-2","2.74e-4"
"GOTERM_BP_DIRECT","cell differentiation","7.59%","71","865","1094","19512","1.23e-3","5.15e-2","1.46","9.93e-1","5.02e-2","8.11e-4"
"GOTERM_BP_DIRECT","transport across blood-brain barrier","1.28%","12","865","85","19512","1.29e-3","5.24e-2","3.18","9.95e-1","5.11e-2","3.57e-4"
"GOTERM_BP_DIRECT","negative regulation of neuron apoptotic process","1.93%","18","865","168","19512","1.30e-3","5.24e-2","2.42","9.95e-1","5.11e-2","4.88e-4"
"GOTERM_BP_DIRECT","cytoskeleton organization","1.93%","18","865","168","19512","1.30e-3","5.24e-2","2.42","9.95e-1","5.11e-2","4.88e-4"
"GOTERM_BP_DIRECT","cellular response to leukemia inhibitory factor","1.50%","14","865","113","19512","1.48e-3","5.87e-2","2.79","9.98e-1","5.72e-2","4.74e-4"
"GOTERM_BP_DIRECT","negative regulation of transforming growth factor beta receptor signaling pathway","1.60%","15","865","129","19512","1.74e-3","6.65e-2","2.62","9.99e-1","6.48e-2","5.99e-4"
"GOTERM_BP_DIRECT","double-strand break repair","1.28%","12","865","90","19512","2.06e-3","7.57e-2","3.01","1.00e+0","7.38e-2","6.07e-4"
"GOTERM_BP_DIRECT","cerebral cortex development","1.28%","12","865","91","19512","2.25e-3","8.19e-2","2.97","1.00e+0","7.98e-2","6.72e-4"
"GOTERM_BP_DIRECT","protein autophosphorylation","1.50%","14","865","119","19512","2.36e-3","8.46e-2","2.65","1.00e+0","8.25e-2","8.01e-4"
"GOTERM_BP_DIRECT","chromatin organization","3.74%","35","865","462","19512","2.73e-3","9.28e-2","1.71","1.00e+0","9.05e-2","1.50e-3"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","5.56%","52","865","791","19512","4.62e-3","1.36e-1","1.48","1.00e+0","1.32e-1","3.05e-3"
"GOTERM_BP_DIRECT","positive regulation of cell differentiation","1.18%","11","865","86","19512","4.65e-3","1.36e-1","2.89","1.00e+0","1.32e-1","1.43e-3"
"GOTERM_BP_DIRECT","cellular response to retinoic acid","1.07%","10","865","73","19512","4.81e-3","1.38e-1","3.09","1.00e+0","1.35e-1","1.37e-3"
"GOTERM_BP_DIRECT","system development","1.18%","11","865","88","19512","5.47e-3","1.53e-1","2.82","1.00e+0","1.49e-1","1.73e-3"
"GOTERM_BP_DIRECT","in utero embryonic development","2.35%","22","865","262","19512","6.53e-3","1.68e-1","1.89","1.00e+0","1.64e-1","3.26e-3"
"GOTERM_BP_DIRECT","negative regulation of angiogenesis","1.50%","14","865","134","19512","6.54e-3","1.68e-1","2.36","1.00e+0","1.64e-1","2.52e-3"
"GOTERM_BP_DIRECT","response to hypoxia","1.82%","17","865","181","19512","6.74e-3","1.72e-1","2.12","1.00e+0","1.68e-1","2.91e-3"
"GOTERM_BP_DIRECT","cartilage development","1.18%","11","865","91","19512","6.93e-3","1.76e-1","2.73","1.00e+0","1.71e-1","2.27e-3"
"GOTERM_BP_DIRECT","canonical Wnt signaling pathway","1.28%","12","865","106","19512","7.28e-3","1.83e-1","2.55","1.00e+0","1.78e-1","2.56e-3"
"GOTERM_BP_DIRECT","animal organ morphogenesis","1.50%","14","865","136","19512","7.39e-3","1.84e-1","2.32","1.00e+0","1.79e-1","2.89e-3"
"GOTERM_BP_DIRECT","negative regulation of signal transduction","1.07%","10","865","79","19512","8.07e-3","1.96e-1","2.86","1.00e+0","1.91e-1","2.51e-3"
"GOTERM_BP_DIRECT","intracellular signal transduction","3.74%","35","865","501","19512","9.25e-3","2.10e-1","1.58","1.00e+0","2.05e-1","5.63e-3"
"GOTERM_BP_DIRECT","regulation of cell growth","1.07%","10","865","81","19512","9.47e-3","2.12e-1","2.78","1.00e+0","2.07e-1","3.03e-3"
"GOTERM_BP_DIRECT","cell surface receptor protein tyrosine kinase signaling pathway","1.39%","13","865","125","19512","9.52e-3","2.12e-1","2.35","1.00e+0","2.07e-1","3.67e-3"
"GOTERM_BP_DIRECT","negative regulation of canonical Wnt signaling pathway","1.60%","15","865","156","19512","9.54e-3","2.12e-1","2.17","1.00e+0","2.07e-1","4.01e-3"
"GOTERM_BP_DIRECT","proteolysis","4.71%","44","865","671","19512","9.82e-3","2.17e-1","1.48","1.00e+0","2.11e-1","6.45e-3"
"GOTERM_BP_DIRECT","protein processing","1.18%","11","865","96","19512","9.99e-3","2.17e-1","2.58","1.00e+0","2.12e-1","3.46e-3"

