"",""SRR349743"",""SRR349744"",""SRR349745"",""SRR349746"",""SRR349747"",""SRR349748"",""SRR349749"",""SRR349750"",""SRR349751"",""SRR349752""
AGRN,264,0,4,7,8,5,29,1,3,0
LOC100288175,1,0,0,0,0,0,11,0,0,0
LOC105378948,3,0,0,0,0,0,21,0,1,0
RNF223,21,0,0,0,0,5,116,1,2,3
C1orf159,10,1,0,1,1,0,14,0,0,0
LOC124903819,0,0,0,0,0,0,0,0,0,0
LOC124903820,0,0,0,0,0,0,0,0,0,0
LINC01342,0,0,0,0,0,0,0,0,0,0
MIR200BHG,8,1,0,0,0,0,15,0,2,0
MIR200B,0,0,0,0,0,0,0,0,0,0
MIR200A,1,0,0,0,0,0,1,0,0,0
MIR429,0,0,0,0,0,0,1,0,0,0
TTLL10-AS1,1,0,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0,0,0,0
TNFRSF18,11,5,0,2,1,0,9,0,0,0
TNFRSF4,3,0,1,0,0,0,0,0,0,0
SDF4,28,0,1,0,0,0,4,0,0,0
B3GALT6,61,0,0,1,0,0,12,1,0,0
C1QTNF12,67,0,0,0,0,0,2,0,0,0
UBE2J2,117,10,7,1,2,6,95,2,3,1
LINC01786,2,0,0,0,0,0,0,0,0,0
SCNN1D,8,0,0,0,0,0,14,0,0,0
ACAP3,36,1,2,1,2,1,29,1,0,1
MIR6726,0,0,0,0,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0,0,0,0,0
PUSL1,31,0,0,0,0,5,49,0,0,1
INTS11,91,1,2,3,3,5,86,2,2,0
MIR6727,0,0,0,0,0,0,0,0,0,0
CPTP,51,2,1,0,1,5,59,1,4,4
TAS1R3,33,0,0,2,0,2,34,0,0,0
DVL1,82,0,3,5,3,9,102,0,2,1
MIR6808,0,0,0,0,0,0,1,0,0,0
MXRA8,208,3,3,1,1,1,25,1,0,0
AURKAIP1,132,1,1,4,3,5,135,0,2,1
CCNL2,92,2,9,6,9,0,59,1,0,0
MRPL20-AS1,40,2,2,3,0,1,30,2,0,2
MRPL20,91,4,4,6,1,4,126,0,1,6
MRPL20-DT,4,0,0,0,0,0,1,0,0,0
ANKRD65,32,1,0,1,0,0,38,0,1,1
ANKRD65-AS1,1,0,1,2,0,0,3,0,0,0
TMEM278,39,0,0,0,0,0,6,0,1,0
LINC01770,2,0,1,0,0,0,1,0,0,0
LOC107985729,1,0,0,0,0,0,1,0,0,0
VWA1,79,2,4,5,2,4,72,1,1,1
ATAD3C,7,0,0,0,0,0,7,0,0,0
ATAD3B,29,1,1,0,2,0,14,0,1,1
ATAD3A,20,0,2,1,2,1,7,0,1,0
TMEM240,1,0,0,0,0,0,0,0,0,0
SSU72,109,1,5,2,3,4,109,2,0,2
SSU72-AS1,3,0,0,0,0,0,0,0,0,0
FNDC10,36,1,2,0,2,0,26,0,0,0
LOC105378586,3,0,0,0,1,0,3,0,0,0
MIB2,59,1,2,2,1,1,58,1,2,0
LOC124903821,56,1,0,1,1,1,51,1,3,0
MMP23B,6,0,0,0,1,0,1,0,0,0
CDK11B,13,1,1,0,0,0,5,0,0,0
SLC35E2B,65,0,1,0,0,0,20,0,0,1
MMP23A,4,0,0,0,0,0,0,0,0,0
CDK11A,4,0,0,0,1,0,0,0,1,0
SLC35E2A,35,1,0,0,1,0,13,0,0,1
LOC112268218,0,0,0,0,0,0,3,0,0,0
NADK,39,1,2,0,5,2,20,0,1,0
GNB1,969,21,34,28,23,22,494,11,9,4
GNB1-DT,1,0,0,0,0,0,0,0,0,0
LOC124903822,0,0,0,0,0,0,0,0,0,0
CALML6,0,0,0,0,0,0,0,0,0,0
TMEM52,1,0,0,1,0,0,2,0,0,0
CFAP74,0,0,0,0,0,0,0,0,0,0
LOC107984872,0,0,0,0,0,0,0,0,0,0
LOC105378589,2,0,0,0,0,0,1,0,0,0
GABRD,5,0,0,0,0,0,0,0,0,0
LOC105378590,0,0,0,0,0,0,0,0,0,0
PRKCZ,43,1,1,1,2,0,50,1,1,1
PRKCZ-DT,0,0,0,0,0,0,0,0,0,0
PRKCZ-AS1,1,0,0,0,0,0,1,0,0,0
FAAP20,62,3,1,0,1,1,31,1,1,1
LOC112268219,9,0,0,0,0,0,2,0,0,0
LOC105378593,0,0,0,0,0,0,0,0,0,0
LOC124903823,1,0,0,0,0,0,0,0,0,0
SKI,88,2,3,2,1,2,26,1,0,0
LOC124903824,1,0,0,0,0,0,1,0,0,0
MORN1,4,0,0,0,2,0,8,0,1,0
LOC100129534,0,0,0,0,1,0,2,0,0,0
RER1,173,6,13,3,5,11,310,7,7,3
PEX10,86,1,5,4,3,4,56,2,2,3
PLCH2,13,0,0,1,0,0,7,0,0,0
PANK4,11,0,2,2,0,0,9,0,0,0
HES5,1,0,1,1,1,0,2,0,0,0
TNFRSF14-AS1,2,0,0,0,0,0,4,0,0,0
TNFRSF14,15,0,0,0,0,1,15,0,1,0
LOC100996583,1,0,0,0,0,0,0,0,0,0
PRXL2B,9,0,0,1,1,2,10,1,0,0
MMEL1,1,0,0,1,0,1,11,0,0,0
MMEL1-AS1,0,0,0,0,0,0,0,0,0,0
TTC34,1,0,0,1,0,0,0,0,0,0
LOC105378602,0,0,0,0,0,0,0,0,0,0
LOC105378601,0,0,0,0,0,0,0,0,0,0
LOC112268220,0,0,0,0,0,0,0,0,0,0
LOC107985732,0,0,0,0,0,0,0,0,0,0
LOC105378600,0,0,0,0,0,0,0,0,0,0
LOC105378598,0,0,0,0,0,0,0,0,0,0
LOC107984904,0,0,0,0,0,0,0,0,0,0
LOC105378599,0,0,0,0,0,0,0,0,0,0
LOC124903825,0,0,0,0,0,0,0,0,0,0
LOC124903826,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0
LOC124903827,1,0,0,0,0,0,0,0,0,0
PRDM16-DT,0,0,0,0,0,0,0,0,0,0
PRDM16,1,0,0,0,0,0,0,0,0,0
MIR4251,0,0,0,0,0,0,0,0,0,0
LOC105378606,0,0,0,0,0,0,0,0,0,0
LOC107984909,0,0,0,0,0,0,0,0,0,0
LOC105378605,0,0,0,0,0,0,0,0,0,0
LOC124903828,0,0,0,0,0,0,0,0,0,0
LOC105378604,1,0,1,0,0,0,0,1,0,0
ARHGEF16,18,0,4,1,2,3,27,0,0,0
MEGF6,51,1,5,5,1,1,19,0,0,0
LOC105378608,1,0,0,0,0,0,0,0,0,0
MIR551A,0,0,0,0,0,0,0,0,0,0
TPRG1L,269,5,6,12,3,18,443,6,12,2
WRAP73,44,1,0,0,2,0,32,0,0,0
TP73,23,0,0,0,1,1,10,0,0,0
TP73-AS3,0,0,0,0,0,0,0,0,0,0
TP73-AS2,0,0,0,0,0,0,0,0,0,0
GFOD3P,15,0,0,0,0,1,7,0,0,0
CCDC27,0,0,0,0,0,0,0,0,0,0
SMIM1,6,0,0,0,0,0,3,0,0,0
LRRC47,50,0,2,2,3,0,56,3,0,2
CEP104,52,1,0,1,3,1,12,1,0,0
LOC124903829,1,0,0,0,0,0,0,0,0,0
DFFB,4,0,0,0,0,0,0,0,0,0
C1orf174,74,2,2,4,3,5,73,2,1,1
LINC01134,0,0,0,0,0,0,2,0,0,0
LINC01346,0,0,0,0,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0,0,0,0,0
LINC02780,0,0,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0,0,0,0
LOC105376674,0,0,0,0,0,0,0,0,0,0
LOC124904578,0,0,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0,0,0
AJAP1,9,0,0,0,0,0,0,0,0,0
LINC02781,0,0,0,0,0,0,0,0,0,0
LOC124904589,0,0,0,0,0,0,0,0,0,0
LOC102724429,0,0,0,0,0,0,0,0,0,0
LINC02782,0,0,0,0,0,0,0,0,0,0
LOC105376682,0,0,0,0,0,0,0,0,0,0
LOC124904590,0,0,0,0,0,0,0,0,0,0
LOC107984911,0,0,0,0,0,0,0,0,0,0
LOC105376686,0,0,0,0,0,0,0,0,0,0
LOC124900451,0,0,0,0,0,0,0,0,0,0
LOC124903830,0,0,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,0,0,0
NPHP4,14,1,0,1,1,0,8,0,1,0
KCNAB2,36,0,0,0,2,1,20,1,0,0
LOC124903831,1,0,0,0,0,0,1,0,0,0
CHD5,1,0,0,0,0,0,0,0,0,0
RPL22,251,9,18,16,10,18,434,12,7,12
RNF207-AS1,0,0,0,0,0,0,0,0,0,0
RNF207,6,0,1,1,0,0,4,0,0,0
ICMT,195,7,12,14,14,10,216,6,5,6
ICMT-DT,1,0,0,0,0,0,1,0,0,0
HES3,0,0,0,0,0,0,0,0,0,0
GPR153,106,1,1,1,0,2,17,0,1,0
ACOT7,26,0,0,0,4,1,11,0,0,0
HES2,34,1,3,3,1,3,59,0,0,2
ESPN,23,2,1,0,2,0,10,0,0,0
MIR4252,0,0,0,0,0,0,0,0,0,0
TNFRSF25,6,0,0,0,0,0,8,1,0,0
PLEKHG5,65,0,0,1,2,3,35,2,1,0
NOL9,71,5,4,2,9,3,32,2,0,0
TAS1R1,0,0,0,0,0,0,0,0,0,0
LOC107984912,0,0,0,0,0,0,0,0,0,0
ZBTB48,11,0,1,0,1,1,9,0,0,0
KLHL21,144,4,4,8,1,4,177,4,2,0
LOC107984913,1,0,0,0,0,0,1,0,0,0
PHF13,37,2,2,1,2,0,38,1,1,0
THAP3,39,1,2,1,0,2,26,2,0,0
DNAJC11,49,3,1,5,2,2,58,0,0,0
LINC01672,0,0,0,0,0,0,0,0,0,0
LOC124904847,0,0,0,0,0,0,0,0,0,0
CAMTA1-DT,1,0,0,0,0,0,0,0,0,0
CAMTA1,89,0,2,2,2,3,39,0,0,0
LOC124903832,13,0,1,1,0,0,12,0,0,0
CAMTA1-AS3,0,0,0,0,0,0,0,0,0,0
CAMTA1-IT1,1,0,0,0,0,0,0,0,0,0
CAMTA1-AS2,0,0,0,0,0,0,0,0,0,0
CAMTA1-AS1,0,0,0,0,0,0,0,0,0,0
LOC105376691,0,0,0,0,0,0,0,0,0,0
LOC105376689,2,0,0,0,0,1,3,0,0,0
VAMP3,383,8,24,21,16,9,629,13,9,12
PER3,47,1,0,0,2,0,37,0,0,0
LOC124903833,2,0,0,0,0,0,1,0,0,0
UTS2,6,0,0,0,0,0,1,0,0,0
TNFRSF9,11,0,2,0,3,0,3,0,0,0
PARK7,28,3,2,2,1,0,13,1,1,0
LOC124903834,0,0,1,0,0,0,1,0,0,0
ERRFI1,60,3,5,1,2,2,50,1,0,2
ERRFI1-DT,4,0,0,0,0,0,0,0,0,0
LOC107984915,0,0,0,0,0,0,0,0,0,0
LINC01714,0,0,0,0,0,0,0,0,0,0
LOC105376695,0,0,0,0,0,0,0,0,0,0
LINC03154,0,0,0,0,0,0,0,0,0,0
SLC45A1,2,0,0,0,0,0,0,0,0,0
RERE,70,1,0,2,3,4,102,1,0,0
RERE-AS1,0,0,0,0,0,0,0,0,0,0
SNORD128,0,0,0,0,0,0,0,0,0,0
LOC124900452,0,0,0,0,0,0,0,0,0,0
ENO1,2219,93,105,69,127,97,2449,42,55,24
MIR6728,15,1,1,0,1,0,13,0,1,1
ENO1-AS1,3,0,0,0,0,0,0,0,0,0
LINC03153,3,0,0,0,0,0,0,0,0,0
CA6,0,0,0,0,0,0,0,0,0,0
SLC2A7,1,0,0,0,0,0,0,0,0,0
SLC2A5,39,1,0,1,6,1,13,0,0,0
LOC124900441,0,0,0,0,0,0,0,0,0,0
GPR157,51,5,2,1,2,16,292,12,12,6
MIR34AHG,7,0,0,1,0,0,17,0,0,0
MIR34A,0,0,0,0,0,0,0,0,0,0
LNCTAM34A,5,0,0,1,0,0,1,0,0,0
H6PD,86,4,6,2,4,1,44,0,1,0
LOC124903836,1,0,0,0,0,0,0,0,0,0
SPSB1,138,6,7,6,7,7,97,4,4,1
LINC02606,0,0,0,1,0,0,0,0,0,0
SLC25A33,25,2,1,0,0,2,14,0,0,1
TMEM201,17,0,0,0,1,2,7,0,0,0
LOC124903837,2,0,0,0,0,0,0,0,0,0
PIK3CD,21,3,0,1,1,0,14,0,0,0
LOC105376712,0,0,0,0,0,0,0,0,0,0
PIK3CD-AS1,0,0,0,0,1,0,0,0,0,0
PIK3CD-AS2,1,0,0,0,0,0,0,0,0,0
LOC124903839,0,0,0,0,0,0,0,0,0,0
CLSTN1,735,29,20,11,42,8,245,6,3,1
CTNNBIP1,74,0,4,1,4,6,193,6,5,3
CTNNBIP1-AS1,8,0,0,0,0,0,15,3,0,0
LOC105376717,9,0,0,0,2,1,28,0,0,0
LOC124903838,1,0,0,0,0,0,2,0,0,0
LZIC,120,5,11,5,6,2,99,1,2,0
NMNAT1,36,1,1,1,1,2,30,1,0,1
TMEM274P,1,0,0,0,0,0,0,0,0,0
MIR5697,0,0,0,0,0,0,0,0,0,0
LOC124903840,0,0,0,0,0,0,0,0,0,0
RBP7,10,0,0,0,0,3,51,2,4,0
UBE4B,202,6,4,9,8,9,88,4,3,0
KIF1B,432,9,17,7,8,24,273,5,5,5
PGD,235,75,39,19,15,130,3122,64,45,28
CENPS-CORT,8,1,2,0,0,0,8,0,0,0
CENPS,12,1,4,0,0,0,13,0,0,0
CORT,0,0,0,0,0,0,0,0,0,0
DFFA,103,4,4,4,6,5,63,1,1,1
PEX14,8,2,0,1,0,0,3,0,0,0
CASZ1,49,0,2,2,0,3,54,0,1,0
LOC105376733,0,0,0,0,0,0,0,0,0,0
LOC105376735,1,0,0,1,0,0,0,0,0,0
CIROZ,0,0,0,0,0,0,0,0,0,0
TARDBP,254,18,19,24,6,11,225,3,4,0
MASP2,1,0,1,0,1,0,2,0,0,0
SRM,14,0,3,1,0,0,6,0,0,0
EXOSC10,67,2,1,3,6,0,26,0,0,0
EXOSC10-AS1,4,0,0,0,0,0,2,0,0,0
MTOR,138,5,8,3,9,2,43,3,3,0
MTOR-AS1,4,0,0,1,1,0,1,0,0,0
LOC124904848,0,0,0,0,0,0,0,0,0,0
ANGPTL7,1,0,0,0,0,0,1,0,0,1
UBIAD1,69,2,3,1,4,2,33,1,0,1
LOC105376737,1,0,0,0,0,0,1,0,0,0
LOC105376739,0,0,0,0,0,0,0,0,0,0
LOC105376740,0,0,0,0,0,0,0,0,0,0
LOC124903841,0,0,0,0,0,0,0,0,0,0
DISP3,1,0,0,0,0,0,0,0,0,0
LOC124903842,1,0,0,0,0,0,0,0,0,0
LINC01647,0,0,0,0,0,0,0,0,0,0
FBXO2,10,0,0,0,0,1,3,0,0,0
FBXO44,29,2,0,0,1,0,14,0,0,0
FBXO6,20,1,2,0,1,0,21,1,0,0
MAD2L2,59,3,0,0,0,0,21,0,0,0
DRAXIN,6,0,0,0,0,0,0,0,0,0
AGTRAP,90,2,4,1,2,5,107,1,1,0
C1orf167,7,0,1,1,0,1,13,0,0,0
C1orf167-AS1,0,0,0,0,0,0,0,0,0,0
MTHFR,43,3,3,2,1,5,57,0,3,0
CLCN6,11,0,1,0,0,0,2,0,0,0
NPPA-AS1,3,0,1,0,0,0,0,0,0,0
NPPA,0,0,0,0,0,0,0,0,0,0
NPPB,0,0,0,0,0,0,0,0,0,0
RNU5E-1,673,506,28,45,2028,2,633,22,51,171
LOC124903843,0,0,0,0,0,0,0,0,0,0
KIAA2013,153,4,6,2,3,3,108,4,1,1
PLOD1,331,10,7,7,2,3,68,2,5,0
MFN2,330,12,18,22,20,18,370,7,9,4
MIIP,17,1,1,0,0,0,3,0,0,0
MIR6729,0,0,0,0,0,0,0,0,0,0
TNFRSF8,0,0,0,0,0,0,0,0,0,0
MIR7846,0,0,0,0,0,0,0,0,0,0
TNFRSF1B,23,2,1,2,1,1,14,0,0,0
LOC124903844,1,0,0,0,0,0,1,0,0,0
MIR4632,0,0,0,0,0,0,0,0,0,0
VPS13D,434,9,16,21,23,20,544,10,14,4
LOC124903845,0,0,1,0,0,0,1,0,0,0
SNORA59A,23,0,1,3,0,1,76,1,0,0
LINC02766,0,0,0,0,0,0,0,0,0,0
DHRS3,185,3,2,8,1,10,206,4,2,1
MIR6730,1,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,2,0,0,0
LOC124903846,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0
LOC124904811,0,0,0,0,0,0,0,0,0,0
CFAP107,0,0,0,0,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0,0,0,0
HNRNPCL1,11,0,2,1,1,0,8,0,0,0
PRAMEF2,0,0,0,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0,0,0,0
HNRNPCL3,7,1,0,0,0,0,8,0,0,0
PRAMEF25,0,0,0,0,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0,0,0,0,0
HNRNPCL2,3,1,0,0,0,0,6,0,0,0
PRAMEF36P,0,0,0,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0,0,0,0,0
HNRNPCL4,6,0,0,0,0,0,5,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0,0,0
LRRC38,0,0,1,0,0,0,0,0,0,0
LOC102724856,0,0,0,0,0,0,0,0,0,0
LOC107984918,0,0,0,0,0,0,0,0,0,0
PDPN,27,5,3,3,4,0,4,0,0,0
LOC105378612,0,0,0,0,0,0,0,0,0,0
LOC105376756,0,0,0,0,0,0,0,0,0,0
LOC124900446,0,0,0,0,0,0,0,0,0,0
PRDM2,99,3,5,3,3,3,115,1,0,0
KAZN,25,0,1,2,1,7,160,3,2,3
LOC107985467,6,5,3,2,0,0,2,0,1,0
LOC124903847,5,0,0,0,0,0,3,0,0,0
KAZN-AS1,0,0,0,0,0,0,0,0,0,0
LOC124903850,0,0,0,1,0,0,0,0,0,0
LOC105376759,0,0,0,0,0,0,0,0,0,0
LOC124903848,1,0,0,0,0,0,0,0,0,0
LOC107985469,1,0,0,0,0,0,0,0,0,0
LOC124903849,0,0,0,0,0,0,0,0,0,0
TMEM51-AS1,4,0,0,0,0,0,10,0,0,0
TMEM51,62,0,0,1,1,3,87,1,0,1
TMEM51-AS2,2,0,0,0,0,0,0,0,0,0
FHAD1,8,0,1,1,0,0,0,0,0,0
LOC124903853,1,0,0,0,0,0,0,0,0,0
LOC124903852,0,0,0,0,0,0,0,0,0,0
FHAD1-AS1,2,0,0,1,1,0,0,0,0,0
LOC124903851,0,0,0,0,0,0,0,0,0,0
EFHD2-AS1,0,0,0,0,0,0,1,0,0,0
EFHD2,68,1,4,6,4,6,56,0,1,0
CTRC,0,0,0,0,0,0,0,0,0,0
CELA2A,0,0,0,0,0,0,0,0,0,0
LOC105376767,0,0,0,0,0,0,0,0,0,0
CELA2B,0,0,0,0,0,0,0,0,0,0
CASP9,41,0,1,1,0,1,43,2,2,0
DNAJC16,67,1,4,1,1,1,38,1,0,0
SCARNA21B,0,0,0,0,0,0,0,0,0,0
AGMAT,14,0,0,1,0,0,5,0,0,0
LOC124903854,0,0,0,0,0,0,0,0,0,0
DDI2,205,4,9,10,4,6,220,3,3,1
RSC1A1,99,3,3,6,4,5,122,1,2,0
PLEKHM2,185,0,6,5,3,5,161,5,1,2
SLC25A34,2,0,0,0,0,0,0,0,0,0
SLC25A34-AS1,0,0,0,0,0,0,0,0,0,0
TMEM82,0,0,0,0,0,0,0,0,0,0
FBLIM1,108,2,1,0,1,1,10,0,0,0
UQCRHL,124,4,6,9,2,6,244,3,0,1
SPEN-AS1,13,0,0,0,0,0,3,1,0,0
SPEN,102,2,7,5,6,1,19,0,1,3
LOC124904815,0,0,0,0,0,0,0,0,0,0
ZBTB17,42,0,2,4,1,2,25,1,0,0
LOC124903855,3,0,0,0,0,0,4,0,0,0
SRARP,0,0,0,0,0,0,0,0,0,0
HSPB7,35,0,1,0,0,0,2,0,0,0
CLCNKA,0,0,0,0,0,0,0,0,0,0
CLCNKB,0,0,0,0,0,0,0,0,0,0
FAM131C,0,0,0,0,0,0,3,0,0,0
EPHA2,146,3,7,5,2,47,1199,12,20,11
EPHA2-AS1,3,0,0,0,1,1,19,0,0,1
ARHGEF19,25,1,0,0,0,0,19,0,0,0
ANO7L1,8,0,0,0,0,1,50,0,1,0
CPLANE2,1,0,0,1,0,0,2,0,0,0
FBXO42,22,0,0,2,3,4,33,0,0,1
SZRD1,77,1,5,6,1,2,55,1,3,0
SPATA21,25,1,1,2,1,1,15,0,0,0
NECAP2,65,1,3,2,2,3,83,2,0,1
LINC01772,0,0,0,0,0,0,1,0,0,0
CROCCP3,0,0,0,0,0,0,0,0,0,0
RNU1-1,4151,1150,676,925,836,231,13726,697,463,412
TRN-GTT5-1,0,0,0,0,0,0,1,0,0,0
LINC01783,3,0,0,0,1,0,4,0,1,1
TRE-TTC4-1,3,0,0,0,1,0,4,0,1,1
LOC124903856,0,0,0,0,0,0,0,0,0,0
TRG-CCC1-1,0,1,0,0,0,0,3,0,0,0
NBPF1,28,2,1,4,2,1,10,0,2,0
CROCCP2,2,0,1,0,0,0,1,0,0,0
MST1P2,1,0,0,0,0,0,2,0,0,0
RNU1-3,4297,1150,725,954,860,214,14046,712,478,388
LOC124903857,0,0,0,0,0,0,0,0,0,0
TRG-CCC4-1,0,0,0,0,0,0,0,0,0,0
ESPNP,1,0,0,0,0,0,0,0,0,0
LOC124903858,1,0,0,0,0,0,0,0,0,0
TRG-CCC5-1,0,1,0,0,0,0,0,0,0,0
LOC124903859,0,0,0,0,0,0,1,0,0,0
RNU1-4,4349,1147,728,987,939,239,14109,755,457,396
MST1L,0,0,0,0,0,0,0,0,0,0
MIR3675,0,0,0,0,0,0,0,0,0,0
TRG-CCC1-2,0,0,0,0,1,1,4,0,0,0
LINC03126,3,1,0,0,0,0,16,0,1,0
TRE-TTC3-1,3,1,0,0,0,0,16,0,1,0
LOC105376805,5,0,0,1,0,0,1,0,0,0
TRN-GTT4-1,0,0,0,0,0,0,0,0,0,0
RNU1-2,4233,1128,736,1057,876,250,14165,729,417,388
CROCC,1,0,0,0,0,0,0,0,0,0
MFAP2,17,1,2,0,0,0,0,0,0,0
LOC105376806,1,0,0,0,0,0,0,0,0,0
ATP13A2,27,2,3,2,3,0,29,1,2,1
SDHB,44,1,2,2,1,3,67,0,2,1
PADI2,4,0,0,0,1,0,4,0,0,0
LOC124903861,0,0,0,0,0,0,0,0,0,0
LOC105376808,0,0,0,0,0,0,0,0,0,0
LINC02783,0,0,0,0,0,0,0,0,0,0
PADI1,12,0,0,0,0,14,600,10,24,10
PADI3,2,0,1,0,1,1,24,1,0,1
MIR3972,0,0,0,0,0,0,0,0,0,0
PADI4,0,0,0,0,0,0,0,0,0,0
PADI6,0,0,0,0,0,0,0,0,0,0
RCC2,104,3,8,3,12,1,34,1,0,0
RCC2-AS1,11,0,0,0,0,0,1,0,0,0
LOC124903862,1,0,1,0,0,0,0,0,1,0
LOC124904837,0,0,0,0,0,0,0,0,0,0
ARHGEF10L,58,1,1,1,2,10,200,6,8,5
LINC02810,0,0,0,0,0,0,0,0,0,0
ACTL8,1,0,0,0,0,0,0,0,0,0
LOC105376809,0,0,0,0,0,0,0,0,0,0
LOC105376812,0,0,0,0,0,0,0,0,0,0
LINC01654,0,0,0,0,0,0,0,0,0,0
IGSF21,3,0,0,0,0,0,0,0,0,0
IGSF21-AS1,1,0,0,0,0,0,0,0,0,0
LOC124903864,0,0,0,0,0,0,0,0,0,0
LOC124903863,1,0,0,0,0,0,1,0,0,0
LOC124903865,0,0,0,0,0,0,0,0,0,0
KLHDC7A,0,0,0,0,0,0,28,0,0,2
PAX7,0,0,0,0,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0,0,0,0,0
ALDH4A1,113,1,0,5,1,10,146,3,2,2
MIR4695,1,0,0,0,0,0,0,0,0,0
MIR1290,0,0,0,0,0,0,0,0,0,0
LOC124903866,0,0,0,0,0,0,0,0,0,0
IFFO2,197,6,1,11,7,8,137,5,4,0
LOC105376815,1,0,0,0,0,0,0,0,0,0
UBR4,653,21,47,24,25,15,373,3,4,1
EMC1-AS1,5,0,0,0,0,0,1,0,0,0
EMC1,120,6,7,4,8,1,17,0,0,0
MRTO4,61,3,3,1,3,2,46,0,0,0
AKR7L,6,0,0,0,0,0,9,0,0,0
AKR7A3,5,0,0,0,0,0,6,0,0,0
LOC124903867,3,0,0,0,0,0,0,0,0,0
LOC100506730,8,0,0,0,0,0,2,0,0,0
